10.1109/tvcg.2023.3327398;Augmented Reality, Situated Visualization, Design Patterns, AR Interfaces, Visualization Techniques
10.1109/tvcg.2023.3327195;Uncertainty Visualization, Statistical Distributions, Grammar of Graphics, ggplot2, R Programming
10.1109/tvcg.2023.3327168;Prompt Engineering, Text-to-Image, Generative AI, Human-Computer Interaction, Interactive Systems
10.1109/tvcg.2023.3327378;Data Visualization Education, Curriculum Design, Teaching Methods, Pedagogy, Educational Challenges
10.1109/tvcg.2023.3327385;Affective Computing, Emotional Design, Data Visualization, User Experience, Human Factors
10.1109/tvcg.2023.3327396;AI-Assisted Systems, Task Guidance, Augmented Reality, Human-Robot Interaction, Visual Guidance
10.1109/tvcg.2023.3326913;Generative Models, Semantic Context, Chart Design, Text-to-Image, Data Storytelling
10.1109/tvcg.2023.3327368;Immersive Analytics, Systematic Review, Design Space, Virtual Reality, 3D Visualization
10.1109/tvcg.2023.3327197;Data Videos, Automatic Generation, Narration, Animation, Storytelling
10.1109/tvcg.2023.3326517;Virtual Reality, Spatial Selection, Target Awareness, Context Awareness, 3D Interaction
10.1109/tvcg.2023.3326579;Trust in Visualization, Empirical Study, Data Credibility, User Trust, Visualization Ethics
10.1109/tvcg.2023.3327170;Sketch Interaction, Computational Notebooks, Documentation, Chart Analysis, Jupyter
10.1109/tvcg.2023.3326597;Invertible Visualization, Data Embedding, Large-Scale Data, Dimensionality Reduction, Interactive Visualization
10.1109/tvcg.2023.3327163;Transformer Models, Attention Mechanisms, Explainable AI, Neural Networks, Model Interpretation
10.1109/tvcg.2023.3327356; Election Visualization, Political Communication, Public Opinion, Trust, Data Journalism
10.1109/tvcg.2023.3327363;Data Stories, Adaptive Systems, User Feedback, Machine Guidance, Narrative Generation
10.1109/tvcg.2023.3326929;Medical Visualization, Historical Records, Diagnostic Learning, Multimodal Modeling, Healthcare Education
10.1109/tvcg.2023.3326598;Urban Analytics, Grammar-Based Systems, Visual Analytics, City Planning, Geographic Visualization
10.1109/tvcg.2023.3326937;Accessibility, Sensory Substitution, Sonification, Touchscreen, Data Accessibility
10.1109/tvcg.2023.3327393;Data Navigation, Accessibility, Assistive Technology, Visual Impairment, Inclusive Design
10.1109/tvcg.2023.3327194;Scene Representation, Multi-Grid Networks, Large-Scale Data, Neural Representations, Adaptive Systems
10.1109/tvcg.2023.3326594;Visual Exploration, Aggregate Queries, Scalable Visualization, Data Sculpting, Interactive Analysis
10.1109/tvcg.2023.3327185;Climate Communication, Data Journalism, Environmental Visualization, Constructive News, Climate Change
10.1109/tvcg.2023.3327367;Data Profiling, Interactive Data Science, Data Quality, Continuous Analysis, Data Management
10.1109/tvcg.2023.3327158;Dashboard Design, Cooperative Work, Design Heuristics, Collaborative Visualization, Business Intelligence
10.1109/tvcg.2023.3326520;Sketch-Based Interfaces, Timeline Visualization, Authoring Tools, Flexible Design, Temporal Data
10.1109/tvcg.2023.3326904; Knowledge Graphs, Graph Visualization, Semantic Web, User Studies, Enterprise Systems
10.1109/tvcg.2023.3326522;Natural Language Processing, Color Palettes, Chart Design, Color Theory, Automated Design
10.1109/tvcg.2023.3326525;Dashboard Systems, Socio-Technical Systems, Organizational Change, Business Intelligence, Enterprise Software
10.1109/tvcg.2023.3327200;Time Series Analysis, Reinforcement Learning, Guided Exploration, Visual Analytics, Machine Learning
10.1109/tvcg.2023.3327201;Cluster Analysis, Perceptual Variability, Ambiguity Measurement, Visual Clustering, Evaluation Metrics
10.1109/tvcg.2023.3326586;Video Analytics, Visual Programming, Interactive Systems, Multimedia Analysis, Video Processing
10.1109/tvcg.2023.3327161;Sports Analytics, Immersive Video, Badminton, Coaching Systems, Performance Analysis
10.1109/tvcg.2023.3326593;Decision Support, Visualization Tools, Critical Analysis, Choice Architecture, Decision Making
10.1109/tvcg.2023.3327387;Innovation Analytics, Science Mapping, Technology Trends, Dual Frontiers, Research Analytics
10.1109/tvcg.2023.3326600;t-SNE, Dimensionality Reduction, Class Constraints, Machine Learning, Feature Visualization
10.1109/tvcg.2023.3326943;Health Visualization, Pediatric Analytics, Multimodal Data, Mental Health, Physical Health
10.1109/tvcg.2023.3327187;Dimensionality Reduction, Evaluation Metrics, Cluster Validation, Label-Based Evaluation, Machine Learning
10.1109/tvcg.2023.3327371;Differentiable Rendering, Transfer Functions, Design Galleries, Volume Visualization, Optimization
10.1109/tvcg.2023.3326934;Grid Layout, Cluster Awareness, Graph Drawing, Layout Algorithms, Information Visualization
